"commune_id","commune_nom","commune_geom","commune_chf_lieu","commune_centroid","commune_superficie","commune_population","pays_id","pays_nom","pays_geom","pays_centroid","pays_superficie","pays_population","pays_capitale"
"AL3N5","PHILIPPSBURG","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3N6","PLANKSTADT","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3N7","PLEIDELSHEIM","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3N8","PLIEZHAUSEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3N9","PLOCHINGEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3OA","RIEGEL","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3OB","RIELASINGEN-WORBLING","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3OC","RIESBUERG","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3OD","RIETHEIM-WEILHEIM","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3OE","RINGSHEIM","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3OF","ROEMERSTEIN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3OG","ROHRDORF","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3OH","ROIGHEIM","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3OI","ROSENBERG","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3OK","ROSENFELD","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3OL","ROSENGARTEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3OM","ROT AM SEE","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3ON","ROT AN DER ROT","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3OO","ROTTENACKER","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3OP","ROTTENBURG AM NECKAR","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3OQ","ROTTWEIL","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3OR","RUDERSBERG","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3OS","RUEMMINGEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3OT","RUPPERTSHOFEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3OU","RUST","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3OV","RUTESHEIM","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3OW","SACHSENHEIM","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3OX","SALACH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3OY","SALEM","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3OZ","SALLNECK","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3O1","RHEINAU","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3O2","RHEINFELDEN(BADEN)","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3O3","RHEINHAUSEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3O4","RHEINMUENSTER","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3O5","RHEINSTETTEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3O6","RICKENBACH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3O7","RIEDERICH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3O8","RIEDHAUSEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3O9","RIEDLINGEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3PA","SCHECHINGEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3PB","SCHEER","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3PC","SCHEFFLENZ","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3PD","SCHELKLINGEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3PE","SCHEMMERHOFEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3PF","SCHENKENZELL","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3PG","SCHILTACH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3PH","SCHLAITDORF","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3PI","SCHLAT","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3PJ","SCHLIENGEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3PK","SCHLIER","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3PL","SCHLIERBACH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3PM","SCHLUCHSEE","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3PN","SCHNUERPFLINGEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3PO","SCHOEMBERG","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3PQ","SCHOENAICH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3PR","SCHOENAU","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3PS","SCHOENAU IM SCHWARZW","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3PT","SCHOENBRUNN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3PU","SCHOENENBERG","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3PV","SCHOENTAL","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3PW","SCHOENWALD IM SCHWAR","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3PX","SCHONACH IM SCHWARZW","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3PY","SCHOPFHEIM","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3PZ","SCHOPFLOCH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3P1","SANDHAUSEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3P3","SASBACH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3P4","SASBACHWALDEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3P5","SATTELDORF","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3P6","SAULDORF","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3P7","SAULGAU","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3P8","SCHALLBACH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3P9","SCHALLSTADT","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3QA","SCHWAIKHEIM","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3QB","SCHWANAU","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3QC","SCHWARZACH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3QD","SCHWENDI","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3QE","SCHWENNINGEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3QF","SCHWETZINGEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3QG","SCHWIEBERDINGEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3QH","SCHWOERSTADT","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3QI","SECKACH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3QJ","SEEBACH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3QK","SEEKIRCH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3QL","SEELBACH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3QM","SEEWALD","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3QN","SEITINGEN-OBERFLACHT","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3QO","SERSHEIM","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3QP","SETZINGEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3QQ","SEXAU","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3QR","SIEGELSBACH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3QS","SIGMARINGEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3QT","SIGMARINGENDORF","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3QU","SIMMERSFELD","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3QV","SIMMOZHEIM","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3QW","SIMONSWAL[)","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3QX","SINDELFINGEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3QY","SINGEN(HOHENTWIEL)","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3QZ","SINSHEIM","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3Q1","SCHORNDORF","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3Q2","SCHRAMBERG","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3Q3","SCHRIESHEIM","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3Q4","SCHROZBERG","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3Q5","SCHUTTERTAL","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3Q6","SCHUTTERWALD","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3Q7","SCHWAEBISCH GMUEND","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3Q8","SCHWAEBISCH HALL","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3Q9","SCHWAIGERN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3RA","ST. BLASIEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3RB","ST. GEORGEN IM SCHWA","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3RC","ST. JOHANN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3RD","ST. LEON-ROT","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3RE","ST. MAERGEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3RF","ST.PETER","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3RG","STAIG","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3RH","STARZACH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3RI","STAUFEN IM BREISGAU","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3RJ","STEGEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3RK","STEINACH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3RL","STEINEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3RM","STEINENBRONN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3RN","STEINHAUSEN AN DER R","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3RO","STEINHEIM AM ALBUCH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3RP","STEINHEIM AN DER MUR","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3RQ","STEINMAUERN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3RR","STEISSLINGEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3RS","STERNENFELS","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3RT","STETTEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3RU","STETTEN AM KALTEN MA","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3RV","STIMPFACH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3RW","STOCKACH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3RX","STOEDTLEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3RY","STRASSBERG","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3RZ","STRAUBENHARDT","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3R1","SINZHEIM","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3R2","SIPPLINGEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3R3","SOELDEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3R4","SONNENBUEHL","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3R5","SONTHEIM AN DER BREN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3R6","SPAICHINGEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3R7","SPECHBACH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3R8","SPIEGELBERG","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3R9","SPRAITBACH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3SA","TAEFERROT","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3SB","TALHEIM","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3SD","TAMM","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3SE","TANNHAUSEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3SF","TANNHEIM","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3SG","TAUBERBISCHOFSHEIM","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3SH","TEGERNAU","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3SI","TENGEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3SJ","TENINGEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3SK","TENNENBRONN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3SL","TETTNANG","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3SM","TIEFENBACH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3SN","TIEFENBRONN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3SO","TITISEE-NEUSTADT","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3SP","TODTMOOS","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3SQ","TODTNAU","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3SR","TRIBERG IM SCHWARZWA","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3SS","TROCHTELFINGEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3ST","TROSSINGEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3SU","TUEBINGEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3SV","TUNAU","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3SW","TUNINGEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3SX","TUTTLINGEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3SY","UBSTADT-WEIHER","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3SZ","UEBERLINGEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3S1","STUEHLINGEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3S2","STUTENSEE","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3S3","STUTTGART","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3S4","SUESSEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3S5","SULZ AM NECKAR","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3S6","SULZBACH AN DER MURR","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3S7","SULZBACH-LAUFEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3S8","SULZBURG","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3S9","SULZFELD","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3TA","UNTERGRUPPENBACH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3TB","UNTERKIRNACH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3TC","UNTERMARCHTAL","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3TD","UNTERMUENKHEIM","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3TE","UNTERREICHENBACH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3TF","UNTERSCHNEIDHEIM","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3TG","UNTERSTADION","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3TH","UNTERWACHINGEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3TI","UNTERWALDHAUSEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3TJ","URBACH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3TK","UTTENWEILER","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3TL","UTZENFELD","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3TM","VAIHINGEN AN DER ENZ","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3TN","VELLBERG","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3TO","VERINGENSTADT","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3TP","VILLINGEN-SCHWENNING","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3TQ","VILLINGENDORF","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3TR","VOEHRENBACH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3TS","VOEHRINGEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3TT","VOERSTETTEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3TU","VOGT","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3TV","VOGTSBURG IM KAISERS","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3TW","VOLKERTSHAUSEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3TX","WAESCHENBEUREN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3TY","WAGHAEUSEL","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3TZ","WAIBLINGEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3T1","UEHLINGEN-BIRKENDORF","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3T2","UHINGEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3T3","UHLDINGEN-MUEHLHOFEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3T4","ULM","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3T5","UMKIRCH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3T6","UMMENDORF","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3T7","UNLINGEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3T8","UNTEREISESHEIM","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3T9","UNTERENSINGEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3UA","WALDENBURG","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3UB","WALDKIRCH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3UC","WALDSHUT-TIENGEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3UD","WALDSTETTEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3UE","WALHEIM","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3UF","WALLDORF","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3UG","WALLDLJERN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3UH","WALLHAUSEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3UI","WALZBACHTAL","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3UJ","WANGEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3UK","WANGEN IM ALLGAEU","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3UL","WANNWEIL","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3UM","WARTHAUSEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3UN","WEHINGEN (TUETTLINGE","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3UO","WEHR","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3UP","WEIDENSTETTEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3UQ","WEIKERSHEIM","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3UR","WEIL AM RHEIN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3US","WEIL DER STADT","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3UT","WEIL IM SCHOENBUCH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3UU","WEILEN UNTER DEN RIN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3UV","WEILHEIM","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3UW","WEILHEIM AN DER TECK","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3UX","WEINGARTEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3UY","WEINGARTEN(BADEN)","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3UZ","WEINHEIM","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3U1","WAIBSTADT","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3U2","WAIN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3U3","WALD","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3U4","WALDACHTAL","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3U5","WALDBRONN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3U6","WALDBRUNN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3U7","WALDBURG","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3U8","WALDDORFHAESLACH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3U9","WALDENBUCH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3VA","WEMBACH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3VB","WENDLINGEN AM NECKAR","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3VC","WERBACH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3VD","WERNAU(NECKAR)","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3VE","WERTHEIM","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3VF","WESTERHEIM","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3VG","WESTERSTETTEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3VH","WESTHAUSEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3VI","WIDDERN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3VJ","WIEDEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3VK","WIERNSHEIM","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3VL","WIES","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3VM","WIESENBACH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3VN","WIESENSTEIG","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3VO","WIESLET","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3VP","WIESLOCH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3VQ","WILDBERG","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3VR","WILHELMSDORF","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3VS","WILHELMSFELD","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3VT","WILLSTAETT","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3VU","WIMSHEIM","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3VV","WINDEN IM ELZRAL","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3VW","WINNENDEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3VX","WINTERBACH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3VY","WINTERLINGEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3VZ","WITTIGHAUSEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3V1","WEINSBERG","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3V2","WEINSTADT","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3V3","WEISENBACH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3V4","WEISSACH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3V5","WEISSACH IM TAL","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3V6","WEISSBACH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3V7","WEISWEIL","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3V8","WELLENDINGEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3V9","WELZHEIM","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3WA","WUESTENROT","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3WB","WURMBERG","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3WC","WURMLINGEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3WD","WUTACH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3WE","WUTOESCHINGEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3WF","WYHL","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3WG","ZABERFELD","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3WH","ZAISENHAUSEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3WI","ZELL AM HARMERSBACH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3WJ","ZELL IM WIESENTAL","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3WK","ZELL UNTER AICHELBER","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3WL","ZIMMERN OB ROTTWEIL","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3WM","ZIMMERN UNTER DER BU","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL3WN","ZUZENHAUSEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
