"commune_id","commune_nom","commune_geom","commune_chf_lieu","commune_centroid","commune_superficie","commune_population","pays_id","pays_nom","pays_geom","pays_centroid","pays_superficie","pays_population","pays_capitale"
"AL2MH","DREIS","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2MI","BAUSENDORF","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2MJ","KLAUSEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2MK","MANDERSCHEID (WIL)","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2ML","MONZELFELD","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2MM","LIESER","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2MN","LONGKAMP","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2MO","BRAUNEBERG","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2MP","REIL","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2MQ","TRITTENHEIM","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2MR","BINSFELD","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2MS","KINDERBEUERN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2MT","GROSSLITTGEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2MU","BENGEL","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2MV","MULHEIM","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2MW","WINTRICH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2MX","VELDENZ","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2MY","URZIG","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2MZ","PLATTEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2M0","WITTLICH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2M1","MORBACH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2M2","BERNKASTEL-KUES","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2M3","TRABEN-TRARBACH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2M4","SALMTAL","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2M5","NEUMAGEN-DHRON","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2M6","KROV","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2M7","ZELTINGEN-RACHTIG","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2M8","LANDSCHEID","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2M9","HETZERATH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2NA","STIPSHAUSEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2NB","FISCHBACH (BIR)","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2NC","MORSCHIED","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2ND","HERRSTEIN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2NE","RUSCHBERG","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2NF","KEMPFELD","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2NG","MITTELREIDENBACH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2NH","HETTENRODT","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2NI","VEITSRODT","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2NJ","ALLENBACH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2NK","REICHENBACH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2NL","HOTTENBACH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2NM","OBERREIDENBACH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2NN","BERSCHWEILER BEI BAUMHOLDER","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2NO","SIEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2NP","LEISEL","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2NQ","VOLLMERSBACH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2NR","SENSWEILER","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2NS","BRUCHWEILER","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2NT","SCHAUREN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2NU","SONNENBERG-WINNENBERG","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2NV","BUHLENBERG","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2NW","HERBORN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2NX","OBERBROMBACH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2NY","NIEDERBROMBACH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2NZ","ACHTELSBACH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2N0","IDAR-OBERSTEIN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2N1","BIRKENFELD (PALATINAT)","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2N2","BAUMHOLDER","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2N3","HOPPSTADTEN-WEIERSBACH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2N4","RHAUNEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2N5","BRUCKEN (BIR)","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2N6","HEIMBACH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2N7","KIRSCHWEILER","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2N8","BUNDENBACH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2N9","NIEDERWORRESBACH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2OA","BLEIALF","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2OB","WAXWEILER","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2OC","METTENDORF","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2OD","KORPERICH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2OE","BADEM","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2OF","HERFORST","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2OG","DUDELDORF","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2OH","WEINSHEIM (BIT)","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2OI","KYLLBURG","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2OJ","BETTINGEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2OK","PRONSFELD","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2OL","DALEIDEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2OM","NEIDENBACH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2ON","FERSCHWEILER","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2OO","WISSMANNSDORF","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2OP","WINTERSPELT","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2OQ","SPANGDAHLEM","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2OR","WOLSFELD","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2OS","WALLERSHEIM","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2OT","PREIST","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2OU","FLIESSEM","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2OV","AUW BEI PRUM","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2OW","MALBERG","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2OX","BURBACH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2OY","ROMMERSHEIM","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2OZ","BUDESHEIM","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2O0","BITBURG","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2O1","PRUM","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2O2","SPEICHER","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2O3","BOLLENDORF","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2O4","SCHONECKEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2O5","NEUERBURG","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2O6","IRREL","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2O7","RITTERSDORF","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2O8","ORENHOFEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2O9","ARZFELD","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2PA","MARNHEIM","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2PB","MUNCHWEILER AN DER ALSENZ","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2PC","ZELLERTAL","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2PD","OBERMOSCHEL","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2PE","SIPPERSFELD","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2PF","KRIEGSFELD","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2PG","DREISEN","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2PH","IMSBACH","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
"AL2PI","LOHNSFELD","Null","Null","Null","","","AL","Allemagne","Null","Null","","",""
