"gid","id_geofla","code_comm","insee_com","nom_comm","statut","x_chf_lieu","y_chf_lieu","x_centroid","y_centroid","z_moyen","superficie","population","code_cant","code_arr","code_dept","nom_dept","code_reg","nom_region"
"1","1","401","97401","LES AVIRONS","Chef-lieu canton","3270","76501","3296","76538","970","2627","10.6","01","2","97","REUNION","04","REUNION"
"2","2","402","97402","BRAS-PANON","Chef-lieu canton","3623","76778","3565","76746","673","8725","11.7","02","3","97","REUNION","04","REUNION"
"3","3","403","97403","ENTRE-DEUX","Chef-lieu canton","3412","76495","3435","76545","1080","5136","6.1","03","2","97","REUNION","04","REUNION"
"4","4","404","97404","L'ETANG-SALE","Chef-lieu canton","3305","76475","3305","76493","339","3837","13.5","04","2","97","REUNION","04","REUNION"
"5","5","405","97405","PETITE-ILE","Chef-lieu canton","3512","76377","3515","76395","527","3383","11.6","05","2","97","REUNION","04","REUNION"
"6","6","406","97406","LA PLAINE-DES-PALMISTES","Chef-lieu canton","3572","76622","3592","76604","1386","8304","5.2","06","3","97","REUNION","04","REUNION"
"7","7","407","97407","LE PORT","Chef-lieu canton","3218","76836","3237","76831","34","1608","38.4","91","4","97","REUNION","04","REUNION"
"8","8","408","97408","LA POSSESSION","Chef-lieu canton","3269","76850","3334","76776","855","11876","30.4","08","4","97","REUNION","04","REUNION"
"9","9","409","97409","SAINT-ANDRE","Chef-lieu canton","3596","76816","3588","76813","173","5428","54","92","3","97","REUNION","04","REUNION"
"10","10","410","97410","SAINT-BENOIT","Sous-pr?fecture","3662","76735","3597","76670","768","22979","35.1","90","3","97","REUNION","04","REUNION"
"11","11","411","97411","SAINT-DENIS","Pr?fecture de r?gion","3385","76904","3384","76844","714","14150","145","93","1","97","REUNION","04","REUNION"
"12","12","412","97412","SAINT-JOSEPH","Chef-lieu canton","3568","76353","3591","76433","963","17784","36","94","2","97","REUNION","04","REUNION"
"13","13","413","97413","SAINT-LEU","Chef-lieu canton","3221","76584","3269","76585","1017","11809","31","95","4","97","REUNION","04","REUNION"
"14","14","414","97414","SAINT-LOUIS","Chef-lieu canton","3349","76452","3361","76511","666","9885","52","96","2","97","REUNION","04","REUNION"
"15","15","415","97415","SAINT-PAUL","Sous-pr?fecture","3201","76758","3256","76720","791","24050","103.3","97","4","97","REUNION","04","REUNION"
"16","16","416","97416","SAINT-PIERRE","Sous-pr?fecture","3421","76392","3437","76425","295","9632","79.2","98","2","97","REUNION","04","REUNION"
"17","17","417","97417","SAINT-PHILIPPE","Chef-lieu canton","3722","76375","3698","76436","996","15446","5.1","26","2","97","REUNION","04","REUNION"
"18","18","418","97418","SAINTE-MARIE","Chef-lieu canton","3491","76885","3471","76830","619","8864","30","30","1","97","REUNION","04","REUNION"
"19","19","419","97419","SAINTE-ROSE","Chef-lieu canton","3745","76632","3707","76560","1033","17820","6.8","31","3","97","REUNION","04","REUNION"
"20","20","420","97420","SAINTE-SUZANNE","Chef-lieu canton","3551","76876","3536","76832","349","5782","22.4","32","1","97","REUNION","04","REUNION"
"21","21","421","97421","SALAZIE","Chef-lieu canton","3481","76740","3449","76719","1175","10382","7.5","33","3","97","REUNION","04","REUNION"
"22","22","422","97422","LE TAMPON","Chef-lieu canton","3459","76463","3503","76524","1282","18102","73.4","99","2","97","REUNION","04","REUNION"
"23","23","423","97423","LES TROIS-BASSINS","Chef-lieu canton","3228","76651","3265","76647","1242","4247","7.1","36","4","97","REUNION","04","REUNION"
"24","24","424","97424","CILAOS","Commune simple","3412","76621","3399","76611","1357","8439","5.8","22","2","97","REUNION","04","REUNION"
