"gid","id_geofla","code_comm","insee_com","nom_comm","statut","x_chf_lieu","y_chf_lieu","x_centroid","y_centroid","z_moyen","superficie","population","code_cant","code_arr","code_dept","nom_dept","code_reg","nom_region"
"1","1","602","97602","BANDRABOUA","Chef-lieu canton","5130","85958","5128","85934","95","3146","10.1","02","0","97","MAYOTTE","06","MAYOTTE"
"2","2","606","97606","CHIRONGUI","Chef-lieu canton","5163","85700","5171","85726","123","2569","8","06","0","97","MAYOTTE","06","MAYOTTE"
"3","3","617","97617","TSINGONI","Chef-lieu canton","5111","85863","5145","85869","147","3424","10.5","19","0","97","MAYOTTE","06","MAYOTTE"
"4","4","607","97607","DEMBENI","Chef-lieu canton","5200","85801","5191","85790","159","3797","10.9","07","0","97","MAYOTTE","06","MAYOTTE"
"5","5","613","97613","M'TSANGAMOUJI","Chef-lieu canton","5089","85895","5094","85903","96","2140","6.3","15","0","97","MAYOTTE","06","MAYOTTE"
"6","6","616","97616","SADA","Chef-lieu canton","5108","85795","5128","85781","130","1100","10.2","18","0","97","MAYOTTE","06","MAYOTTE"
"7","7","605","97605","CHICONI","Chef-lieu canton","5122","85816","5122","85825","87","811","7","05","0","97","MAYOTTE","06","MAYOTTE"
"8","8","611","97611","MAMOUDZOU","Sous-pr?fecture","5251","85870","5210","85860","161","4182","57.3","99","0","97","MAYOTTE","06","MAYOTTE"
"9","9","601","97601","ACOUA","Chef-lieu canton","5061","85936","5074","85933","180","1245","4.7","01","0","97","MAYOTTE","06","MAYOTTE"
"10","10","614","97614","OUANGANI","Chef-lieu canton","5150","85795","5149","85808","175","1837","9.8","16","0","97","MAYOTTE","06","MAYOTTE"
"11","11","615","97615","PAMANDZI","Chef-lieu canton","5298","85850","5308","85853","52","426","9.9","17","0","97","MAYOTTE","06","MAYOTTE"
"12","12","603","97603","BANDRELE","Chef-lieu canton","5211","85729","5186","85710","101","3482","7.9","03","0","97","MAYOTTE","06","MAYOTTE"
"13","13","610","97610","KOUNGOU","Chef-lieu canton","5221","85921","5203","85908","138","2792","26.5","10","0","97","MAYOTTE","06","MAYOTTE"
"14","14","609","97609","KANI-KELI","Chef-lieu canton","5113","85676","5136","85659","114","2029","4.9","09","0","97","MAYOTTE","06","MAYOTTE"
"15","15","612","97612","MTSAMBORO","Chef-lieu canton","5075","85962","5087","85966","146","1605","7.8","14","0","97","MAYOTTE","06","MAYOTTE"
"16","16","604","97604","BOUENI","Chef-lieu canton","5085","85731","5106","85712","85","1381","6.4","04","0","97","MAYOTTE","06","MAYOTTE"
"17","17","608","97608","DZAOUDZI","Pr?fecture de r?gion","5295","85862","5306","85872","32","650","14.3","08","0","97","MAYOTTE","06","MAYOTTE"
